FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
1/2/2020,10,-99,-99,10,-99,15,11,-99,-99,7,10,13,-99,-99,-99,16,17,-99,12,-99,7,-99,12,5,6,-99,9,-99,5,32,20,4,11,28,-99
1/2/2020,11,-99,-99,9,-99,13,9,-99,-99,9,7,9,-99,-99,-99,12,14,-99,11,-99,7,-99,8,5,9,17,5,-99,5,19,18,4,9,15,-99
1/2/2020,12,-99,-99,7,-99,4,5,-99,-99,7,7,9,-99,-99,-99,11,12,-99,16,-99,7,-99,8,3,8,15,4,-99,4,9,11,4,9,12,-99
1/2/2020,13,-99,-99,4,-99,4,2,-99,-99,7,6,7,-99,-99,-99,9,15,-99,24,-99,7,-99,6,4,7,12,5,-99,5,11,11,4,9,9,-99
1/2/2020,14,-99,-99,5,-99,3,0,-99,-99,7,7,8,-99,-99,-99,8,14,-99,25,-99,7,-99,6,2,7,9,4,-99,6,13,9,4,8,9,-99
1/2/2020,15,-99,-99,4,-99,6,0,-99,-99,8,7,8,-99,-99,-99,8,18,-99,23,-99,7,-99,7,2,9,7,6,-99,4,14,10,4,9,-99,25
1/2/2020,16,-99,-99,3,-99,5,1,-99,-99,7,7,8,-99,-99,-99,9,18,-99,24,-99,6,-99,8,3,9,10,6,-99,3,12,8,4,10,8,28
1/2/2020,17,-99,-99,5,-99,6,1,-99,-99,9,9,9,-99,-99,-99,11,17,-99,23,-99,7,-99,11,2,12,11,6,-99,2,14,9,4,9,7,31
1/2/2020,18,-99,-99,5,-99,9,1,-99,-99,9,11,16,-99,-99,-99,14,26,-99,21,-99,9,-99,12,2,11,20,8,-99,5,18,11,5,10,10,35
1/2/2020,19,-99,-99,11,-99,12,14,-99,-99,10,15,27,-99,-99,-99,32,23,-99,32,-99,11,-99,13,3,11,24,9,-99,7,20,17,9,14,17,34
1/2/2020,20,-99,-99,10,-99,11,3,-99,-99,6,15,24,-99,-99,-99,41,30,-99,45,-99,10,-99,15,4,11,29,7,-99,5,18,17,7,19,25,62
1/2/2020,21,-99,-99,11,-99,7,3,-99,-99,8,18,36,-99,-99,-99,22,23,-99,39,-99,8,-99,9,6,10,30,8,-99,5,16,15,5,11,12,47
1/2/2020,22,-99,-99,9,-99,6,10,-99,-99,8,32,27,-99,-99,-99,20,20,-99,34,-99,8,-99,16,13,8,25,5,-99,4,13,12,3,12,9,33
1/2/2020,23,-99,-99,7,-99,5,12,-99,-99,9,26,14,-99,-99,-99,30,15,-99,33,-99,6,-99,16,12,6,22,5,-99,3,13,10,4,9,8,31
1/2/2020,24,-99,-99,4,-99,6,4,-99,-99,6,15,16,-99,-99,-99,15,10,-99,20,-99,5,-99,9,3,4,12,5,-99,3,13,11,4,6,13,25
1/3/2020,1,-99,4,3,-99,2,16,-99,-99,4,22,7,-99,-99,-99,12,8,-99,17,-99,4,-99,8,10,4,9,3,-99,2,9,8,3,6,13,25
1/3/2020,2,-99,3,3,-99,2,13,-99,-99,6,15,3,-99,-99,-99,14,8,-99,13,-99,4,-99,8,15,5,7,6,-99,3,10,9,2,6,8,20
1/3/2020,3,-99,6,1,-99,6,9,-99,-99,5,18,3,-99,-99,-99,12,9,-99,14,-99,3,-99,7,12,2,8,6,-99,2,7,9,3,6,7,34
1/3/2020,4,-99,9,4,-99,16,13,-99,-99,5,13,3,-99,-99,-99,19,19,-99,16,-99,4,-99,9,15,2,5,7,-99,2,9,15,5,9,8,26
1/3/2020,5,-99,8,8,-99,2,13,-99,-99,6,25,4,-99,-99,-99,14,37,-99,23,-99,5,-99,25,8,9,21,9,-99,3,12,13,19,15,10,35
1/3/2020,6,-99,5,14,-99,12,14,-99,-99,9,47,8,-99,-99,-99,41,41,-99,55,-99,8,-99,19,10,5,34,15,-99,8,16,11,17,26,23,61
1/3/2020,7,-99,15,48,-99,62,27,-99,-99,16,76,49,-99,-99,-99,68,88,-99,125,-99,19,-99,24,21,6,47,26,-99,17,78,18,19,52,37,83
1/3/2020,8,-99,8,96,-99,173,32,-99,-99,57,144,106,-99,-99,-99,81,117,-99,174,-99,29,-99,28,40,12,46,56,-99,27,111,55,26,63,36,111
1/3/2020,9,-99,14,150,-99,184,39,-99,-99,65,180,131,-99,-99,-99,45,85,-99,77,-99,42,-99,74,37,121,59,85,-99,26,139,136,49,41,129,70
