FECHA,HORA,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
1/1/2021,1,-99,-99,24,23,2,9,7,-99,-99,-99,1,25,18,6,-99,40,-99,-99,3,6,7,25,38,20,8,20,13,19,-99,23,12,-99,25,21,2,-99
1/1/2021,2,-99,-99,25,12,2,0,8,-99,-99,-99,1,19,20,10,-99,37,-99,-99,7,2,4,27,37,22,9,21,12,21,-99,10,13,-99,15,8,2,-99
1/1/2021,3,-99,-99,24,9,6,1,7,-99,-99,-99,5,9,16,6,-99,37,-99,-99,12,4,1,28,37,24,16,19,12,25,-99,11,6,-99,12,11,4,-99
1/1/2021,4,-99,-99,23,4,3,0,6,-99,-99,-99,4,9,13,2,-99,41,-99,-99,11,1,2,28,38,21,17,19,7,27,-99,20,4,-99,8,6,6,-99
1/1/2021,5,-99,-99,25,3,6,3,3,-99,-99,-99,2,5,13,2,-99,37,-99,-99,6,2,4,27,38,21,12,10,9,24,-99,18,4,-99,8,6,5,-99
1/1/2021,6,-99,-99,28,2,2,1,4,-99,-99,-99,1,4,9,1,-99,39,-99,-99,8,2,3,25,40,18,12,21,3,25,-99,21,3,-99,8,3,4,-99
1/1/2021,7,-99,-99,29,8,5,1,4,-99,-99,-99,1,4,1,2,-99,45,-99,-99,6,1,6,28,40,8,6,3,1,28,-99,20,4,-99,6,3,4,-99
1/1/2021,8,-99,-99,30,7,10,2,5,-99,-99,-99,1,4,2,4,-99,43,-99,-99,10,2,6,8,41,5,9,6,2,28,-99,23,7,-99,2,5,4,-99
1/1/2021,9,-99,-99,30,13,18,11,19,-99,-99,-99,5,12,11,10,-99,48,-99,-99,24,9,15,15,39,11,18,15,5,28,-99,26,17,-99,13,15,9,-99
1/1/2021,10,-99,-99,40,26,28,32,37,-99,-99,-99,26,32,29,29,-99,48,-99,-99,31,29,33,30,40,34,37,29,22,38,-99,38,33,-99,33,33,33,-99
1/1/2021,11,-99,-99,41,47,39,42,49,-99,-99,-99,51,48,40,43,-99,47,-99,-99,43,46,46,39,44,52,50,44,32,45,-99,51,52,-99,44,51,56,-99
1/1/2021,12,-99,-99,41,57,51,53,60,-99,-99,-99,73,69,54,56,-99,45,-99,-99,51,54,57,42,46,64,57,43,39,52,-99,50,56,-99,51,62,67,-99
1/1/2021,13,-99,-99,42,56,57,63,69,-99,-99,-99,81,73,59,64,-99,45,-99,-99,56,73,71,41,45,50,69,40,41,59,-99,46,62,-99,49,58,55,-99
1/1/2021,14,-99,-99,43,60,46,59,59,-99,-99,-99,65,63,48,53,-99,46,-99,-99,58,49,64,41,46,49,68,42,37,66,-99,46,62,-99,41,46,54,-99
1/1/2021,15,-99,-99,47,52,47,53,57,-99,-99,-99,62,49,51,47,-99,48,-99,-99,44,47,57,41,47,51,63,43,39,55,-99,47,52,-99,43,47,54,-99
1/1/2021,16,-99,-99,54,44,40,47,53,-99,-99,-99,52,49,49,48,-99,48,-99,-99,44,49,49,43,49,50,52,43,40,43,-99,49,47,-99,45,49,51,-99
1/1/2021,17,-99,-99,61,43,40,47,50,-99,-99,-99,50,48,49,49,-99,48,-99,-99,43,48,45,46,53,52,51,44,36,43,-99,55,46,-99,48,53,48,-99
1/1/2021,18,-99,-99,63,37,36,44,48,-99,-99,-99,46,44,49,47,-99,48,-99,-99,36,48,43,47,60,51,45,43,33,40,-99,55,43,-99,51,53,44,-99
1/1/2021,19,-99,-99,59,24,33,40,43,-99,-99,-99,36,34,45,40,-99,45,-99,-99,35,46,33,43,57,48,39,39,30,36,-99,52,36,-99,53,45,37,-99
1/1/2021,20,-99,-99,56,29,34,31,39,-99,-99,-99,23,31,38,34,-99,44,-99,-99,30,23,34,40,50,34,33,35,23,28,-99,44,31,-99,47,44,35,-99
1/1/2021,21,-99,-99,46,6,30,14,22,-99,-99,-99,7,33,33,24,-99,44,-99,-99,17,11,25,38,46,33,6,31,20,22,-99,41,22,-99,40,41,28,-99
1/1/2021,22,-99,-99,40,3,23,2,5,-99,-99,-99,8,29,29,23,-99,41,-99,-99,4,7,14,33,44,27,8,30,16,22,-99,34,11,-99,33,36,19,-99
1/1/2021,23,-99,-99,37,3,6,0,4,-99,-99,-99,3,10,29,10,-99,41,-99,-99,10,4,2,31,44,29,11,33,16,26,-99,26,13,-99,28,24,23,-99
1/1/2021,24,-99,-99,39,3,1,2,5,-99,-99,-99,4,7,28,13,-99,34,-99,-99,11,0,-99,35,48,31,19,34,16,-99,-99,33,10,-99,-99,9,10,-99
1/2/2021,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/2/2021,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
