Fecha,promedioGas,Infectados,Defunciones,Hospitalizados,Acumulado,TIncidencia,Mortalidad,Letalidad,Poblacion,DensidadP
1/1/2020,1.2608695652173914,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/2/2020,0.7142857142857143,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/3/2020,0.8617424242424243,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/4/2020,7.604166666666667,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/5/2020,5.75,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/6/2020,6.12202380952381,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/7/2020,8.434782608695652,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/8/2020,5.404761904761905,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/9/2020,2.625,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/10/2020,1.5208333333333335,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/11/2020,2.0416666666666665,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/12/2020,6.6875,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/13/2020,2.7608695652173907,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/14/2020,3.666666666666667,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/15/2020,3.1666666666666665,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/16/2020,5.970238095238095,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/17/2020,3.8958333333333335,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/18/2020,4.6875,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/19/2020,2.217391304347826,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/20/2020,1.2142857142857142,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/21/2020,1.25,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/22/2020,3.020833333333333,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/23/2020,2.375,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/24/2020,2.0833333333333335,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/25/2020,1.5217391304347827,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/26/2020,2.904761904761905,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/27/2020,2.583333333333333,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/28/2020,1.125,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/29/2020,3.2291666666666665,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/30/2020,1.0625,0,0,0,0,0.0,0.0,0.0,608479,11284.85
1/31/2020,1.0652173913043477,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/1/2020,17.04761904761905,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/2/2020,7.583333333333333,0,0,0,0,0.0,0.0,0.0,608479,11284.85
2/3/2020,1.2708333333333333,0,0,0,0,0.0,0.0,0.0,608479,11284.85
