FECHA,promedioCO,promedioO3,promedioSO2
1/1/2020,0.268011815137954,1,0.860226521507986
1/2/2020,0.164408135723925,1,0.816326530612245
1/3/2020,0.242693796886343,1,0.854029424681599
1/4/2020,0.323019323671497,0.833333333333333,0.898636363636364
1/5/2020,0.31122907125081,0.966666666666667,0.4
1/6/2020,0.552396810369451,0.9125,1
1/7/2020,0.286568753609203,0.90625,0.983333333333333
1/8/2020,0.42970335561125,0.888888888888889,1
1/9/2020,0.381719083410356,0.916666666666667,0.979166666666667
1/10/2020,0.326215457474856,0.93,0.93506424308854
1/11/2020,0.360834480800156,0.871212121212121,0.96969696969697
1/12/2020,0.374870600414079,0.907407407407407,1
1/13/2020,0.354657477025898,0.850694444444444,1
1/14/2020,0.354129794461644,0.896103896103896,1
1/15/2020,0.367240487273024,0.797395833333333,1
1/16/2020,0.310418137116507,0.783333333333333,1
1/17/2020,0.297016369047619,0.833333333333333,0.968253968253968
1/18/2020,0.359323328392622,0.836805555555555,1
1/19/2020,0.199254261363636,1,0.893031910880881
1/20/2020,0.353609587694727,0.742424242424242,0.932539682539683
1/21/2020,0.427047562459327,0.798717948717949,0.903275227188271
1/22/2020,0.366951892052848,0.954545454545455,0.957142857142857
1/23/2020,0.293633958083615,0.857142857142857,0.907749113631466
1/24/2020,0.321369707303211,0.883333333333333,0.967857142857143
1/25/2020,0.323694958740725,0.910357142857143,0.952696959790781
1/26/2020,0.278350340136054,0.866666666666667,0.996336996336996
1/27/2020,0.269063079777365,0.920634920634921,0.955627705627706
1/28/2020,0.285950114911785,0.979166666666667,0.925539781129843
1/29/2020,0.277365073677185,0.890476190476191,0.946359464838567
1/30/2020,0.200989006135704,0.875,0.91558676830416
1/31/2020,0.228135872926246,0.8,0.922588798365196
2/1/2020,0.390603431656063,0.767948717948718,1
2/2/2020,0.514012684493234,0.915555555555556,1
2/3/2020,0.223229125946517,0.814814814814815,0.9439348091522
2/4/2020,0.213973164516643,0.857142857142857,0.873251748251748
2/5/2020,0.176601731601732,1,0.807692307692308
2/6/2020,0.245833333333333,0.9,0.850277868584505
2/7/2020,0.362729892541812,0.851851851851852,0.926844070961718
2/8/2020,0.3099420917247,0.972222222222222,0.887175324675325
2/9/2020,0.312329497987393,0.904761904761905,0.957298136645963
2/10/2020,0.375323773448773,0.767032967032967,1
2/11/2020,0.37643523664233,0.85952380952381,0.979591836734694
2/12/2020,0.230103205972771,0.9375,0.959463877084014
2/13/2020,0.318243975952954,0.791666666666667,0.952380952380952
2/14/2020,0.421903594949294,0.875943104514533,0.96
2/15/2020,0.418677032077653,0.783888888888889,0.981340579710145
2/16/2020,0.307772444946358,0.886666666666667,0.967147435897436
2/17/2020,0.312951131357473,0.818181818181818,1
2/18/2020,0.362121252807343,0.833333333333333,1
2/19/2020,0.383762215412481,0.86031746031746,0.984848484848485
2/20/2020,0.248482350293976,0.8125,0.982142857142857
2/21/2020,0.233654970760234,0.881666666666666,0.954684302870946
2/22/2020,0.37275707384403,0.805952380952381,1
2/23/2020,0.348776415676873,1,0.989010989010989
2/24/2020,0.306848547587678,1,0.96037296037296
2/25/2020,0.218823795600111,0.875,0.806229860365199
2/26/2020,0.29167435221783,0.876666666666667,0.818255274137627
2/27/2020,0.33111615996513,0.875,0.971590909090909
2/28/2020,0.322684986511073,0.875,0.964285714285714
2/29/2020,0.357266542980829,0.857142857142857,1
3/1/2020,0.364009012695987,1,1
3/2/2020,0.27150626566416,0.9375,1
3/3/2020,0.21665296860949,0.95,0.826731585221288
3/4/2020,0.207244076374511,0.875,0.759610075914424
3/5/2020,0.33993428069515,0.897727272727273,0.86351714598883
3/6/2020,0.327037037037037,1,0.745535714285714
3/7/2020,0.262234299516908,1,0.84963768115942
3/8/2020,0.311759955444166,0.833333333333333,0.904761904761905
3/9/2020,0.302813640607758,0.878787878787879,0.941666666666667
3/10/2020,0.29554071773637,0.75,0.920634920634921
3/11/2020,0.375143125160288,0.852564102564102,0.883116883116883
3/12/2020,0.283553622197787,0.890625,0.9370670995671
3/13/2020,0.261270625509756,0.8125,0.93976023976024
3/14/2020,0.246989417989418,1,1
3/15/2020,0.216635079895949,1,0.966666666666667
3/16/2020,0.223007246376812,0.638888888888889,0.958541458541458
3/17/2020,0.318815923207228,0.738095238095238,0.974747474747475
3/18/2020,0.328301346801347,0.825757575757576,0.965686274509804
3/19/2020,0.286516035451962,0.924603174603174,0.965277777777778
3/20/2020,0.244469228627123,0.733333333333333,0.927777777777778
3/21/2020,0.209975845410628,,0.94331983805668
3/22/2020,0.261111111111111,0.588888888888889,0.802106227106227
3/23/2020,0.285348516218081,1,0.971153846153846
3/24/2020,0.301469351904134,0.857142857142857,0.935656565656566
3/25/2020,0.275844375431332,1,0.911990466798159
3/26/2020,0.322957115860698,1,0.948051948051948
3/27/2020,0.338076752440106,0.9375,0.867462774583517
3/28/2020,0.325001848565513,1,0.95062228220123
3/29/2020,0.236581262939958,,0.932291666666667
3/30/2020,0.30762077294686,0.75,0.938888888888889
3/31/2020,0.246461352657005,1,0.941964285714286
4/1/2020,0.247619047619048,0.5,0.922647527910686
4/2/2020,0.22554852876592,0.333333333333333,0.943865740740741
4/3/2020,0.242959721437982,0.9375,0.824762982115923
4/4/2020,0.237914078674948,0.75,0.753385899814471
4/5/2020,0.200694052324487,1,0.782923013703089
4/6/2020,0.237301587301587,1,0.841240411635148
4/7/2020,0.206241496598639,1,0.735890795712224
4/8/2020,0.207224967061924,1,0.812605170273237
4/9/2020,0.25012077294686,,0.837244897959184
4/10/2020,0.219784804567413,0.75,0.743644748109034
4/11/2020,0.204070048309179,1,0.805253623188406
4/12/2020,0.150289855072464,,0.512422360248447
4/13/2020,0.250195767195767,1,0.803481919083423
4/14/2020,0.265696091348265,1,0.79408290984378
4/15/2020,0.271690821256039,1,0.858306277056277
4/16/2020,0.256002415458937,1,0.938562091503268
4/17/2020,0.295132850241546,,0.934343434343434
4/18/2020,0.331711682037769,1,0.948223039215686
4/19/2020,0.330540637307555,,0.841142521908776
4/20/2020,0.271497035573122,0.944444444444444,0.755850705666882
4/21/2020,0.237620333772508,0.75,0.68471706864564
4/22/2020,0.24018115942029,0.833333333333333,0.616528399137095
4/23/2020,0.236866490996926,0.777777777777778,0.707738095238095
4/24/2020,0.287222222222222,,0.798941336441336
4/25/2020,0.295708616780045,0.833333333333333,0.809129594820384
4/26/2020,0.138599896480331,,0.617805637774678
4/27/2020,0.191369047619048,,0.652954888249006
4/28/2020,0.267965367965368,0.833333333333333,0.537943579798783
4/29/2020,0.253758469791078,0.5,0.708116265661023
4/30/2020,0.183674477696217,,0.602819974143504
5/1/2020,0.26687074829932,1,0.540833350884213
5/2/2020,0.291924289478637,0.75,0.643068428451002
