Estado,Fecha,Infectados,Curados,Defunciones,Acumulado,Poblacion,TIncidencia,promedioCO,promedioO3,promedioSO2,promedioCOEsc,promedioO3Esc,promedioSO2Esc,Cluster
Ciudad de México,2020-01-01,0,0,0,0,8918653,0.0,0.26801181513795397,1.0,0.8602265215079858,268.011815137954,1000.0,860.226521507986,4
Ciudad de México,2020-01-02,0,0,0,0,8918653,0.0,0.164408135723925,1.0,0.816326530612245,164.408135723925,1000.0,816.326530612245,4
Ciudad de México,2020-01-03,0,0,0,0,8918653,0.0,0.24269379688634302,1.0,0.8540294246815991,242.693796886343,1000.0,854.0294246815989,4
Ciudad de México,2020-01-04,0,0,0,0,8918653,0.0,0.323019323671497,0.833333333333333,0.898636363636364,323.019323671497,833.333333333333,898.636363636364,4
Ciudad de México,2020-01-05,0,0,0,0,8918653,0.0,0.31122907125081,0.966666666666667,0.4,311.22907125081,966.666666666667,400.0,4
Ciudad de México,2020-01-06,0,0,0,0,8918653,0.0,0.5523968103694511,0.9125,1.0,552.396810369451,912.5,1000.0,4
Ciudad de México,2020-01-07,0,0,0,0,8918653,0.0,0.286568753609203,0.90625,0.983333333333333,286.568753609203,906.25,983.333333333333,4
Ciudad de México,2020-01-08,0,0,0,0,8918653,0.0,0.42970335561125,0.8888888888888891,1.0,429.70335561125,888.888888888889,1000.0,4
Ciudad de México,2020-01-09,0,0,0,0,8918653,0.0,0.38171908341035604,0.916666666666667,0.979166666666667,381.719083410356,916.666666666667,979.166666666667,4
Ciudad de México,2020-01-10,0,0,0,0,8918653,0.0,0.32621545747485603,0.93,0.93506424308854,326.215457474856,930.0,935.06424308854,4
Ciudad de México,2020-01-11,0,0,0,0,8918653,0.0,0.360834480800156,0.871212121212121,0.96969696969697,360.83448080015603,871.212121212121,969.6969696969699,4
Ciudad de México,2020-01-12,0,0,0,0,8918653,0.0,0.374870600414079,0.907407407407407,1.0,374.870600414079,907.407407407407,1000.0,4
Ciudad de México,2020-01-13,0,0,0,0,8918653,0.0,0.35465747702589795,0.850694444444444,1.0,354.657477025898,850.694444444444,1000.0,4
Ciudad de México,2020-01-14,0,0,0,0,8918653,0.0,0.354129794461644,0.8961038961038961,1.0,354.129794461644,896.103896103896,1000.0,4
Ciudad de México,2020-01-15,0,0,0,0,8918653,0.0,0.367240487273024,0.797395833333333,1.0,367.240487273024,797.395833333333,1000.0,4
Ciudad de México,2020-01-16,0,0,0,0,8918653,0.0,0.310418137116507,0.783333333333333,1.0,310.418137116507,783.333333333333,1000.0,4
Ciudad de México,2020-01-17,0,0,0,0,8918653,0.0,0.29701636904761897,0.833333333333333,0.968253968253968,297.01636904761904,833.333333333333,968.2539682539681,4
Ciudad de México,2020-01-18,0,0,0,0,8918653,0.0,0.35932332839262204,0.836805555555555,1.0,359.323328392622,836.805555555555,1000.0,4
