Estado,Fecha,Infectados,Curados,Defunciones,Acumulado,Poblacion,TIncidencia,promedioCO,promedioO3,promedioSO2,promedioCOEsc,promedioO3Esc,promedioSO2Esc,Cluster
Ciudad de México,2020-12-02,4326,2085,89,33888,8918653,0.003799676924307,0.260978725380899,1.0,0.776515151515152,260.978725380899,1000.0,776.515151515152,1
Ciudad de México,2020-12-03,4414,1923,77,36302,8918653,0.004070345600395,0.334325785869903,1.0,0.7489468864468859,334.325785869903,1000.0,748.946886446886,1
Ciudad de México,2020-12-04,4567,2023,96,38750,8918653,0.004344826511358,0.358522551850641,0.97172619047619,0.721064541519087,358.52255185064104,971.72619047619,721.064541519087,1
Ciudad de México,2020-12-07,5288,2744,125,42963,8918653,0.004817207262128,0.322045454545455,0.8611111111111109,1.0,322.045454545455,861.111111111111,1000.0,1
Ciudad de México,2020-12-08,5025,2879,108,45001,8918653,0.005045717105487001,0.353170355208399,0.9027777777777779,1.0,353.170355208399,902.777777777778,1000.0,1
Ciudad de México,2020-12-09,5012,2648,108,47257,8918653,0.005298670101864,0.420122655122655,0.9168831168831171,1.0,420.12265512265503,916.883116883117,1000.0,1
Ciudad de México,2020-12-10,5215,2714,120,49638,8918653,0.0055656386676330005,0.383973682859682,0.892857142857143,1.0,383.973682859682,892.8571428571429,1000.0,1
Ciudad de México,2020-12-11,5108,2946,118,51682,8918653,0.0057948212583219996,0.39677070468863107,1.0,0.943055555555556,396.770704688631,1000.0,943.055555555556,1
Ciudad de México,2020-12-14,5392,3600,129,54622,8918653,0.00612446745041,0.293391050598868,0.5,0.8906771059881109,293.391050598868,500.0,890.677105988111,1
Ciudad de México,2020-12-15,5409,3860,142,56029,8918653,0.00628222669948,0.321602320752862,0.9081632653061229,0.7704630895420369,321.602320752862,908.1632653061231,770.4630895420371,1
Ciudad de México,2020-12-16,5164,4211,136,56846,8918653,0.006373832461023001,0.353870851370851,0.766666666666667,0.840031897926635,353.87085137085097,766.666666666667,840.031897926635,1
Ciudad de México,2020-12-17,5167,4297,146,57570,8918653,0.006455010638938,0.32150832656410494,0.895833333333333,0.8207581891792421,321.508326564105,895.833333333333,820.758189179242,1
Ciudad de México,2020-12-18,5564,4467,139,58528,8918653,0.006562425962755,0.415938468949052,0.828125,0.806739130434783,415.938468949052,828.125,806.739130434783,1
Ciudad de México,2020-12-21,5518,5141,144,58924,8918653,0.006606827286587,0.38531746031746,0.75,1.0,385.31746031746,750.0,1000.0,1
Ciudad de México,2020-12-22,5352,4893,156,59227,8918653,0.006640801026792,0.400356829161177,0.778333333333333,1.0,400.35682916117696,778.333333333333,1000.0,1
Ciudad de México,2020-12-23,5180,4871,152,59384,8918653,0.006658404581948001,0.46583690105841496,0.956349206349206,0.955357142857143,465.836901058415,956.3492063492059,955.3571428571429,1
