Estado,Fecha,Infectados,Curados,Defunciones,Acumulado,Poblacion,TIncidencia,promedioCO,promedioO3,promedioSO2,promedioCOEsc,promedioO3Esc,promedioSO2Esc,Cluster
Ciudad de México,2020-04-28,599,210,55,4922,8918653,0.0005518770603589999,0.267965367965368,0.833333333333333,0.537943579798783,267.965367965368,833.333333333333,537.943579798783,2
Ciudad de México,2020-04-29,627,194,97,5258,8918653,0.000589550910883,0.253758469791078,0.5,0.7081162656610229,253.758469791078,500.0,708.1162656610229,2
Ciudad de México,2020-05-04,773,408,84,6042,8918653,0.0006774565621059999,0.207867494824016,0.833333333333333,0.66115749330035,207.867494824016,833.333333333333,661.15749330035,2
Ciudad de México,2020-05-05,615,388,98,6171,8918653,0.000691920629718,0.19928312629399603,0.40001,0.655756148613291,199.28312629399602,400.01,655.756148613291,2
Ciudad de México,2020-05-06,720,345,102,6444,8918653,0.0007225306332689999,0.20388198757764,0.0,0.642049503387792,203.88198757764,0.0,642.049503387792,2
Ciudad de México,2020-05-07,751,320,83,6792,8918653,0.0007615499784550001,0.250907029478458,1.0,0.852172096908939,250.90702947845799,1000.0,852.172096908939,2
Ciudad de México,2020-05-08,826,467,99,7052,8918653,0.0007907023627899999,0.28651656314699797,1.0,0.64945652173913,286.516563146998,1000.0,649.4565217391299,2
Ciudad de México,2020-05-11,855,444,96,7619,8918653,0.000854276985549,0.24228896103896103,0.7,0.525115283267457,242.288961038961,700.0,525.115283267457,2
Ciudad de México,2020-05-12,864,493,120,7870,8918653,0.000882420248887,0.273398705331935,0.833333333333333,0.626871526642694,273.398705331935,833.333333333333,626.871526642694,2
Ciudad de México,2020-05-13,916,501,110,8175,8918653,0.0009166182382030001,0.263221446473326,0.75,0.6984402397936229,263.221446473326,750.0,698.440239793623,2
Ciudad de México,2020-05-14,833,490,130,8388,8918653,0.0009405007684460001,0.29589248742975394,0.75,0.757053453792584,295.892487429754,750.0,757.053453792584,2
Ciudad de México,2020-05-15,975,257,126,8980,8918653,0.0010068785050840001,0.267903020892151,1.0,0.703874929418408,267.903020892151,1000.0,703.8749294184081,2
Ciudad de México,2020-05-16,628,270,122,9216,8918653,0.0010333399000950001,0.185714285714286,1.0,0.6160714285714289,185.714285714286,1000.0,616.071428571429,2
Ciudad de México,2020-05-18,1113,678,141,9502,8918653,0.001065407522862,0.23187748783724,1.0,0.7926844269362969,231.87748783723998,1000.0,792.684426936297,2
Ciudad de México,2020-05-19,1060,511,127,9924,8918653,0.001112724085128,0.24405822247927497,0.666666666666667,0.70391156462585,244.05822247927503,666.666666666667,703.91156462585,2
Ciudad de México,2020-05-20,1072,628,107,10261,8918653,0.0011505100602079998,0.332274247491639,0.833333333333333,0.8754027926960258,332.27424749163896,833.333333333333,875.402792696026,2
Ciudad de México,2020-05-21,994,631,139,10485,8918653,0.0011756259605569998,0.43357683982684003,1.0,0.8532804755630841,433.57683982684,1000.0,853.280475563084,2
Ciudad de México,2020-05-22,949,704,115,10615,8918653,0.0011902021527240001,0.340703933747412,0.833333333333333,0.765101232800813,340.703933747412,833.333333333333,765.101232800813,2
Ciudad de México,2020-05-25,1066,699,126,10915,8918653,0.001223839519264,0.250545594756121,1.0,0.643510562119585,250.54559475612098,1000.0,643.5105621195851,2
Ciudad de México,2020-05-26,938,722,123,11008,8918653,0.001234267102891,0.283800800648627,1.0,0.7355219651963351,283.800800648627,1000.0,735.521965196335,2
Ciudad de México,2020-05-27,1004,791,109,11112,8918653,0.001245928056625,0.38628053106314003,1.0,0.886724678829942,386.28053106313996,1000.0,886.724678829942,2
Ciudad de México,2020-05-28,857,704,120,11145,8918653,0.0012496281669439999,0.30879917184265004,0.9166666666666659,0.598722144360136,308.79917184264997,916.666666666666,598.722144360136,2
Ciudad de México,2020-05-29,957,821,111,11170,8918653,0.001252431280822,0.24699792960662498,0.833333333333333,0.5126004947433521,246.99792960662498,833.333333333333,512.600494743352,2
Ciudad de México,2020-06-01,1089,960,114,11201,8918653,0.0012559071420310001,0.22928113553113502,0.625,0.666620408304782,229.281135531135,625.0,666.620408304782,2
Ciudad de México,2020-06-02,938,935,104,11100,8918653,0.001244582561963,0.19125,1.0,0.603952702522496,191.25,1000.0,603.952702522496,2
Ciudad de México,2020-06-03,1002,935,120,11047,8918653,0.0012386399605410002,0.11662137681159401,0.9642857142857142,0.5593083387201031,116.621376811594,964.285714285714,559.308338720103,2
Ciudad de México,2020-06-04,946,876,112,11005,8918653,0.0012339307292260002,0.157686733556299,0.9285714285714292,0.729609387614695,157.686733556299,928.571428571429,729.6093876146949,2
Ciudad de México,2020-06-05,959,849,105,11010,8918653,0.0012344913520010003,0.159884229482892,1.0,0.862145748987854,159.884229482892,1000.0,862.145748987854,2
Ciudad de México,2020-06-08,1031,924,124,11002,8918653,0.00123359435556,0.20466540515167497,0.5,0.331328320802005,204.665405151675,500.0,331.328320802005,2
Ciudad de México,2020-06-09,1005,809,104,11094,8918653,0.001243909814632,0.30952380952381,1.0,0.6513630866673,309.52380952381003,1000.0,651.3630866673001,2
Ciudad de México,2020-06-10,962,874,109,11073,8918653,0.001241555198975,0.22408280125671398,0.9285714285714292,0.6374598962391971,224.082801256714,928.571428571429,637.459896239197,2
Ciudad de México,2020-06-11,880,718,112,11123,8918653,0.001247161426731,0.14201885071450301,0.9285714285714292,0.6345084549317961,142.018850714503,928.571428571429,634.508454931796,2
Ciudad de México,2020-06-12,926,847,114,11088,8918653,0.001243237067302,0.14029304029304002,0.7,0.507456008719277,140.29304029303998,700.0,507.45600871927695,2
Ciudad de México,2020-06-15,925,958,76,10736,8918653,0.0012037692238950001,0.21025641025641,1.0,0.848484848484848,210.25641025641002,1000.0,848.484848484848,2
Ciudad de México,2020-06-16,991,825,114,10788,8918653,0.001209599700762,0.22470238095238101,1.0,0.886675563367293,224.702380952381,1000.0,886.675563367293,2
Ciudad de México,2020-06-17,955,903,106,10734,8918653,0.001203544974785,0.234615384615385,1.0,0.8742462665539591,234.615384615385,1000.0,874.246266553959,2
Ciudad de México,2020-06-18,941,846,98,10731,8918653,0.001203208601119,0.22978021978022,0.5,0.762548562548562,229.78021978022002,500.0,762.548562548562,2
Ciudad de México,2020-06-19,884,862,89,10664,8918653,0.0011956962559260002,0.19934630586804503,0.75,0.832057823129252,199.346305868045,750.0,832.057823129252,2
Ciudad de México,2020-06-22,878,931,72,10336,8918653,0.001158919401842,0.3664044289044289,1.0,0.8986208236208241,366.40442890442904,1000.0,898.620823620824,2
Ciudad de México,2020-06-23,888,888,69,10267,8918653,0.001151182807538,0.30391025641025604,0.7424242424242421,0.8387598899208809,303.910256410256,742.4242424242419,838.759889920881,2
Ciudad de México,2020-06-24,806,858,57,10158,8918653,0.0011389612310290002,0.27262751033427696,0.5,0.5284401479890201,272.627510334277,500.0,528.44014798902,2
Ciudad de México,2020-06-25,838,786,62,10148,8918653,0.0011378399854779998,0.25716425120772896,0.6375,0.42410701215048996,257.164251207729,637.5,424.10701215048994,2
Ciudad de México,2020-06-26,923,845,73,10153,8918653,0.001138400608253,0.25686868686868697,0.815151515151515,0.76048685613903,256.868686868687,815.151515151515,760.48685613903,2
Ciudad de México,2020-06-29,982,827,56,10203,8918653,0.0011440068360099999,0.27485051180703396,1.0,0.7668586373943521,274.850511807034,1000.0,766.858637394352,2
Ciudad de México,2020-06-30,941,901,71,10172,8918653,0.0011405309748010002,0.297603174603174,1.0,0.814611678004535,297.603174603174,1000.0,814.6116780045351,2
Ciudad de México,2020-07-01,1012,889,75,10220,8918653,0.001145912953447,0.243768115942029,1.0,0.664184547336721,243.768115942029,1000.0,664.1845473367209,2
Ciudad de México,2020-07-02,886,856,59,10191,8918653,0.0011426613413479999,0.23083333333333303,1.0,0.744268400953592,230.833333333333,1000.0,744.268400953592,2
Ciudad de México,2020-07-03,948,799,63,10277,8918653,0.0011523040530899999,0.181823232323232,1.0,0.762208253849121,181.823232323232,1000.0,762.208253849121,2
Ciudad de México,2020-07-06,1007,796,73,10297,8918653,0.0011545465441919998,0.354676434676435,0.833333333333333,0.731868131868132,354.676434676435,833.333333333333,731.868131868132,2
Ciudad de México,2020-07-07,965,814,74,10374,8918653,0.001163180134937,0.26042735042735,0.75,0.660155786242743,260.42735042735,750.0,660.155786242743,2
Ciudad de México,2020-07-08,960,729,49,10556,8918653,0.001183586803971,0.225722567287785,0.8,0.40510033444816096,225.72256728778498,800.0,405.100334448161,2
Ciudad de México,2020-07-09,755,777,58,10476,8918653,0.001174616839561,0.366006211180124,0.7714285714285709,0.6565651260504201,366.00621118012396,771.428571428571,656.56512605042,2
Ciudad de México,2020-07-10,883,846,47,10466,8918653,0.0011734955940100001,0.337020927442123,0.7777777777777779,0.570624616256599,337.02092744212297,777.777777777778,570.624616256599,2
Ciudad de México,2020-07-13,1086,916,55,10559,8918653,0.001183923177637,0.280549036561265,1.0,0.69178607913128,280.549036561265,1000.0,691.78607913128,2
Ciudad de México,2020-07-14,943,871,67,10564,8918653,0.001184483800412,0.320595561594203,0.9285714285714292,0.71566996847048,320.595561594203,928.571428571429,715.6699684704801,2
Ciudad de México,2020-07-15,1229,958,72,10763,8918653,0.001206796586884,0.28179450757575797,1.0,0.6458717610891519,281.794507575758,1000.0,645.871761089152,2
Ciudad de México,2020-07-16,1151,843,56,11015,8918653,0.001235051974777,0.26214900362318805,0.7142857142857142,0.70859689702569,262.14900362318804,714.285714285714,708.59689702569,2
Ciudad de México,2020-07-17,1195,901,55,11254,8918653,0.0012618497434530001,0.20885416666666698,0.857142857142857,0.580594333203029,208.854166666667,857.1428571428571,580.594333203029,2
Ciudad de México,2020-07-18,669,333,64,11526,8918653,0.001292347622449,0.25327380952381,1.0,0.7444514062935121,253.27380952381,1000.0,744.4514062935119,2
Ciudad de México,2020-07-20,1169,949,54,11711,8918653,0.0013130906651489997,0.342064108251996,1.0,0.8491423363603822,342.064108251996,1000.0,849.1423363603819,2
Ciudad de México,2020-07-21,1173,905,53,11926,8918653,0.001337197444502,0.268764172335601,1.0,0.807716914517003,268.764172335601,1000.0,807.716914517003,2
Ciudad de México,2020-07-22,1210,914,42,12180,8918653,0.0013656770815050003,0.268366778149387,1.0,0.7102810821298221,268.366778149387,1000.0,710.2810821298219,2
Ciudad de México,2020-07-23,1131,713,53,12545,8918653,0.001406602544129,0.25348343685300195,1.0,0.8085240465103171,253.48343685300202,1000.0,808.5240465103169,2
Ciudad de México,2020-07-24,1078,828,44,12751,8918653,0.0014297002024860003,0.261318681318681,1.0,0.7278242876097809,261.318681318681,1000.0,727.824287609781,2
