Fecha,CAM,CCA,MER,PED,SAC,SFE,TAH,UAX,UIZ
1/1/2020,2.217391304347826,1.2608695652173914,2.8260869565217392,1.4782608695652173,0.6956521739130435,0.5217391304347826,1.5217391304347827,1.2608695652173914,1.8695652173913044
1/2/2020,1.0476190476190477,1.0,1.2857142857142858,1.0,0.0,0.6190476190476191,0.9047619047619048,0.42857142857142855,1.0
1/3/2020,1.2083333333333333,1.0416666666666667,1.3333333333333333,1.0416666666666667,0.16666666666666666,0.6666666666666666,0.8333333333333334,0.6818181818181818,1.0
1/4/2020,9.208333333333334,8.333333333333334,8.541666666666666,8.083333333333334,4.541666666666667,7.916666666666667,5.041666666666667,6.875,6.708333333333333
1/5/2020,30.916666666666668,5.833333333333333,18.916666666666668,5.458333333333333,6.666666666666667,4.125,6.875,5.666666666666667,8.333333333333334
1/6/2020,20.708333333333332,7.625,26.291666666666668,9.0,16.791666666666668,7.541666666666667,4.125,4.619047619047619,21.291666666666668
1/7/2020,13.652173913043478,10.434782608695652,12.391304347826088,10.782608695652174,3.130434782608696,11.173913043478262,4.434782608695652,6.434782608695652,6.956521739130435
1/8/2020,12.476190476190476,5.809523809523809,11.333333333333334,6.428571428571429,4.857142857142857,6.666666666666667,3.761904761904762,5.0,0.0
1/9/2020,5.041666666666667,2.9583333333333335,7.125,3.2916666666666665,4.166666666666667,2.9166666666666665,2.380952380952381,2.2916666666666665,0.0
1/10/2020,3.0833333333333335,1.5,3.1666666666666665,1.7083333333333333,1.5416666666666667,0.7391304347826086,0.9583333333333334,1.5416666666666667,0.0
1/11/2020,5.208333333333333,2.0,5.541666666666667,1.7083333333333333,2.4782608695652173,0.9583333333333334,1.9166666666666667,2.0833333333333335,0.0
1/12/2020,10.125,7.25,17.083333333333332,6.875,8.333333333333334,3.7916666666666665,4.75,6.125,10.5
1/13/2020,5.956521739130435,2.652173913043478,10.695652173913043,2.869565217391304,5.695652173913044,2.608695652173913,2.130434782608696,2.869565217391304,3.391304347826087
1/14/2020,6.285714285714286,4.666666666666667,6.809523809523809,5.6,3.142857142857143,3.8095238095238093,1.9523809523809523,2.6666666666666665,3.380952380952381
1/15/2020,10.041666666666666,3.75,16.25,5.041666666666667,7.041666666666667,4.208333333333333,1.826086956521739,2.5833333333333335,8.636363636363637
1/16/2020,11.166666666666666,6.857142857142857,11.333333333333334,5.375,3.761904761904762,3.9583333333333335,3.260869565217391,5.083333333333333,8.826086956521738
1/17/2020,5.166666666666667,4.291666666666667,5.291666666666667,3.75,3.0416666666666665,2.9583333333333335,3.0416666666666665,3.5,4.375
1/18/2020,9.916666666666666,4.791666666666667,18.416666666666668,3.5833333333333335,9.125,2.3333333333333335,3.5416666666666665,4.583333333333333,11.875
1/19/2020,3.652173913043478,2.217391304347826,3.3043478260869565,2.3125,0.6521739130434783,1.173913043478261,1.0869565217391304,2.217391304347826,1.7826086956521738
1/20/2020,1.8095238095238095,1.1904761904761905,1.9047619047619047,1.2857142857142858,0.0,0.3333333333333333,0.8571428571428571,1.2380952380952381,1.3333333333333333
1/21/2020,11.166666666666666,1.4583333333333333,12.454545454545455,1.4166666666666667,0.0,0.9565217391304348,0.9166666666666666,1.0416666666666667,1.8333333333333333
1/22/2020,4.958333333333333,3.7916666666666665,6.666666666666667,4.916666666666667,0.0,3.9523809523809526,3.0,2.25,3.2083333333333335
1/23/2020,3.7083333333333335,2.625,4.958333333333333,2.5833333333333335,0.0,0.7083333333333334,3.125,2.125,4.5
1/24/2020,3.0833333333333335,1.9166666666666667,4.666666666666667,1.9166666666666667,0.0,0.8333333333333334,3.0416666666666665,2.25,3.7083333333333335
1/25/2020,2.4347826086956523,1.7826086956521738,2.9130434782608696,1.9130434782608696,0.0,1.0,0.8695652173913043,1.2608695652173914,2.5217391304347827
1/26/2020,6.904761904761905,4.0476190476190474,5.428571428571429,3.2857142857142856,0.0,3.0476190476190474,1.0,1.7619047619047619,1.6470588235294117
1/27/2020,3.625,2.6666666666666665,5.95,2.0416666666666665,0.0,1.9,1.0833333333333333,2.5,4.541666666666667
1/28/2020,1.5555555555555556,1.25,1.8333333333333333,1.125,0.0,0.7083333333333334,1.0416666666666667,1.0,1.4583333333333333
1/29/2020,7.125,3.75,8.791666666666666,4.041666666666667,0.0,4.208333333333333,1.5238095238095237,2.7083333333333335,2.75
1/30/2020,1.5416666666666667,1.125,2.1666666666666665,1.1666666666666667,0.0,0.9583333333333334,0.85,1.0,1.0833333333333333
1/31/2020,1.5217391304347827,1.0869565217391304,2.0,1.0434782608695652,0.0,1.0,0.9130434782608695,1.0434782608695652,1.4090909090909092
2/1/2020,27.428571428571427,18.571428571428573,19.142857142857142,16.0,0.0,11.333333333333334,7.761904761904762,15.523809523809524,11.523809523809524
2/2/2020,23.583333333333332,8.083333333333334,17.916666666666668,7.458333333333333,0.0,3.625,2.375,7.083333333333333,12.833333333333334
2/3/2020,4.958333333333333,1.2083333333333333,6.166666666666667,1.1666666666666667,0.0,1.0833333333333333,0.8695652173913043,1.3333333333333333,2.6666666666666665
2/4/2020,1.7083333333333333,1.0833333333333333,2.3636363636363638,0.8333333333333334,0.0,0.7916666666666666,0.5416666666666666,1.0,1.25
2/5/2020,1.1666666666666667,1.0,0.0,0.7916666666666666,1.0,0.7916666666666666,0.25,0.9583333333333334,1.125
2/6/2020,1.0,1.0,0.0,0.8695652173913043,1.0,0.782608695652174,0.7391304347826086,0.8260869565217391,1.173913043478261
