Fecha,CAM,CCA,MER,PED,SAC,SFE,TAH,UAX,UIZ
1/1/2020,19.08695652173913,17.043478260869566,18.08695652173913,19.5,22.52173913043478,23.652173913043477,21.73913043478261,23.652173913043477,17.08695652173913
1/2/2020,18.571428571428573,20.285714285714285,15.285714285714286,20.904761904761905,19.714285714285715,21.285714285714285,23.333333333333332,21.666666666666668,16.428571428571427
1/3/2020,21.166666666666668,22.666666666666668,19.25,23.25,29.666666666666668,28.75,28.958333333333332,27.454545454545453,20.083333333333332
1/4/2020,22.583333333333332,25.791666666666668,21.666666666666668,26.625,22.416666666666668,30.75,32.25,28.75,20.541666666666668
1/5/2020,27.208333333333332,30.291666666666668,24.916666666666668,35.791666666666664,26.666666666666668,36.625,38.833333333333336,28.541666666666668,20.958333333333332
1/6/2020,28.666666666666668,32.041666666666664,25.666666666666668,42.5,31.5,42.416666666666664,42.333333333333336,39.76190476190476,24.75
1/7/2020,20.0,28.217391304347824,19.434782608695652,33.91304347826087,18.772727272727273,37.0,26.782608695652176,22.217391304347824,15.478260869565217
1/8/2020,28.904761904761905,34.904761904761905,26.571428571428573,44.095238095238095,27.38095238095238,40.666666666666664,35.38095238095238,33.285714285714285,28.72222222222222
1/9/2020,23.5,30.541666666666668,25.0,43.625,28.666666666666668,43.708333333333336,28.761904761904763,33.166666666666664,0.0
1/10/2020,22.916666666666668,17.875,20.333333333333332,22.875,23.541666666666668,28.130434782608695,25.333333333333332,21.875,0.0
1/11/2020,27.208333333333332,27.375,25.125,35.666666666666664,29.545454545454547,33.583333333333336,35.208333333333336,30.166666666666668,0.0
1/12/2020,27.833333333333332,27.041666666666668,25.458333333333332,35.458333333333336,23.833333333333332,41.583333333333336,31.0,28.5,19.625
1/13/2020,25.73913043478261,29.0,25.434782608695652,36.95454545454545,18.26086956521739,37.43478260869565,24.73913043478261,25.434782608695652,19.695652173913043
1/14/2020,23.571428571428573,25.095238095238095,24.0,33.1,22.238095238095237,30.428571428571427,25.428571428571427,24.285714285714285,18.61904761904762
1/15/2020,23.791666666666668,21.875,22.583333333333332,27.291666666666668,19.083333333333332,28.041666666666668,21.608695652173914,22.833333333333332,3.5454545454545454
1/16/2020,25.208333333333332,22.571428571428573,22.0,26.833333333333332,16.80952380952381,25.958333333333332,27.043478260869566,26.166666666666668,18.208333333333332
1/17/2020,21.0,21.458333333333332,20.916666666666668,25.666666666666668,21.958333333333332,24.125,27.458333333333332,23.875,16.666666666666668
1/18/2020,21.625,23.708333333333332,20.666666666666668,31.458333333333332,19.375,31.5,30.625,25.083333333333332,16.125
1/19/2020,10.478260869565217,12.304347826086957,8.391304347826088,15.75,9.043478260869565,18.391304347826086,11.173913043478262,8.565217391304348,7.608695652173913
1/20/2020,7.666666666666667,9.238095238095237,7.857142857142857,8.666666666666666,0.0,10.666666666666666,9.285714285714286,7.142857142857143,6.476190476190476
1/21/2020,15.125,17.458333333333332,16.545454545454547,17.25,0.0,17.608695652173914,21.791666666666668,20.208333333333332,14.5
1/22/2020,25.25,22.875,23.708333333333332,27.416666666666668,0.0,29.571428571428573,33.583333333333336,32.083333333333336,22.5
1/23/2020,14.625,15.375,13.166666666666666,16.25,0.0,25.125,27.5,18.958333333333332,12.791666666666666
1/24/2020,15.75,19.166666666666668,16.166666666666668,21.875,0.0,18.958333333333332,26.625,21.791666666666668,15.083333333333334
1/25/2020,20.82608695652174,18.217391304347824,19.043478260869566,20.043478260869566,0.0,18.59090909090909,25.695652173913043,21.08695652173913,14.043478260869565
1/26/2020,19.047619047619047,19.714285714285715,19.333333333333332,22.80952380952381,0.0,20.0,29.523809523809526,24.19047619047619,17.85
1/27/2020,20.208333333333332,18.958333333333332,13.05,24.166666666666668,0.0,16.8,26.375,21.727272727272727,17.125
1/28/2020,13.277777777777779,26.625,21.125,35.458333333333336,0.0,29.791666666666668,31.708333333333332,30.0,20.541666666666668
1/29/2020,23.291666666666668,24.083333333333332,24.083333333333332,32.291666666666664,0.0,24.333333333333332,28.142857142857142,26.166666666666668,19.583333333333332
1/30/2020,16.583333333333332,16.583333333333332,15.583333333333334,17.333333333333332,0.0,20.041666666666668,29.9,28.5,18.083333333333332
1/31/2020,18.782608695652176,23.304347826086957,19.347826086956523,26.772727272727273,0.0,24.90909090909091,28.391304347826086,27.0,17.181818181818183
2/1/2020,21.666666666666668,23.142857142857142,18.857142857142858,26.761904761904763,0.0,27.523809523809526,22.38095238095238,23.80952380952381,16.285714285714285
2/2/2020,18.125,18.625,16.208333333333332,22.916666666666668,0.0,18.583333333333332,22.75,22.916666666666668,15.0
2/3/2020,17.125,17.458333333333332,19.541666666666668,18.75,0.0,19.75,27.136363636363637,24.25,17.083333333333332
2/4/2020,12.791666666666666,12.166666666666666,9.363636363636363,12.75,0.0,15.375,24.958333333333332,20.625,15.541666666666666
2/5/2020,11.833333333333334,11.708333333333334,0.0,13.666666666666666,0.0,15.583333333333334,21.5,18.291666666666668,11.916666666666666
2/6/2020,23.869565217391305,21.0,0.0,21.695652173913043,0.0,22.818181818181817,29.608695652173914,26.08695652173913,18.608695652173914
2/7/2020,24.0,23.285714285714285,21.428571428571427,24.333333333333332,32.85,27.428571428571427,34.285714285714285,31.714285714285715,20.285714285714285
2/8/2020,30.5,25.916666666666668,25.083333333333332,37.666666666666664,34.375,37.125,36.416666666666664,36.625,23.541666666666668
2/9/2020,30.041666666666668,25.5,27.375,37.041666666666664,29.25,33.375,29.0,34.75,23.291666666666668
