FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,CUA,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAG,SAC,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
1/1/2020,11,-99,-99,-99,0.1,0.2,0.4,-99,0.2,0.2,-99,0.2,0.1,0,0.1,0.2,0.2,0.1,0,0.1,0.1,0.3,0.1,0,0.2,-99,0.1,0.1,0.2,-99,0,0.2,0.1
1/1/2020,12,-99,-99,-99,0,0,0.2,-99,0.2,0.1,-99,0,0.2,0,0.1,0,0,0,0,0.1,0,0.2,0.1,0,0.1,-99,0,0.1,0.2,-99,0,0,0
1/1/2020,13,-99,-99,-99,0,0.1,0.2,-99,0.1,0,-99,0.1,0.1,0,0.1,0,0.1,0,0,0.1,0,0.1,0.1,0,0.1,-99,0.1,0.1,0.1,-99,0,0,0
1/1/2020,14,-99,-99,-99,0,0.1,0.1,-99,0.1,0,-99,0.1,0.1,0.1,0.1,0,0.1,0.1,0.2,0.1,0,0.1,0.1,0,0,-99,0.1,0.1,0.1,-99,0,0,0
1/1/2020,15,-99,-99,-99,0.1,0.2,0.1,-99,0.1,0,-99,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0.1,0.2,0,0.1,-99,0.1,0,0.1,-99,0.1,0.1,0.1
1/1/2020,16,-99,-99,-99,0.1,0.2,0.1,-99,0.1,0.1,-99,0.1,0.2,-99,0.1,0.1,0.1,0.1,0,0.1,0,0,0.2,0,0.1,-99,0,0,0.1,-99,0.1,0.1,0
1/1/2020,17,-99,-99,-99,0.1,0.2,0.1,-99,0.1,0.1,-99,0.1,0.2,-99,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,-99,0.1,0.1,0.1,-99,0.1,0.1,0.1
1/1/2020,18,-99,-99,-99,0.1,0.2,0,-99,0.1,0.1,-99,0.1,0.2,-99,0.1,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0.1,-99,0.1,0.1,0.1,-99,0.1,0.1,0.1
1/1/2020,19,-99,-99,-99,0.1,0.2,0.1,-99,0.2,0.1,-99,0.1,0.2,-99,0.2,0.2,0.2,0,0.1,0.1,0.2,0.1,0.2,0.1,0,-99,0.1,0.1,0.2,-99,0.1,0.1,0.1
1/1/2020,20,-99,-99,-99,0.1,0.2,0.1,-99,0.1,0.1,-99,0.1,0.2,-99,0.2,0.1,0.2,0.1,0.2,0.1,0.2,0.1,0.4,0.1,0,-99,0.1,0.1,0.2,-99,0.1,0.1,0.1
